Product Name,Profit
"Hoover Stove, Red",11436.528
"Nokia Smart Phone, Full Size",8960.976750000002
"Cisco Smart Phone, with Caller ID",8333.9502
Canon imageCLASS 2200 Advanced Copier,7559.9784
"Motorola Smart Phone, Full Size",6549.0948
GBC DocuBind TL300 Electric Binding System,6323.779500000001
"Cisco Smart Phone, Full Size",6262.4244
ARKON Windshield Dashboard Air Vent Car Mount Holder,5875.361999999999
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,5719.455
"Hewlett Wireless Fax, Color",5338.35207
"Hoover Blender, Black",5263.06665
GBC Ibimaster 500 Manual ProClick Binding System,5136.615000000001
"Office Star Executive Leather Armchair, Red",5052.912
"Sauder Classic Bookcase, Metal",5030.5245
"Ikea Classic Bookcase, Mobile",4877.652
"Memorex Router, Erganomic",4771.035
"Rogers Lockers, Single Width",4707.73125
"Cuisinart Refrigerator, Black",4608.0
"Nokia Smart Phone, with Caller ID",4606.0353
"Hon Executive Leather Armchair, Adjustable",4593.60495
"Bush Classic Bookcase, Metal",4415.4105
"Cuisinart Stove, Red",4288.83915
"Belkin Router, USB",4286.0817
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,4167.009
"Hewlett Fax Machine, Laser",4132.7148
"Eldon File Cart, Single Width",4078.4339999999997
"Dania Library with Doors, Traditional",4026.798
"Hamilton Beach Stove, Silver",3975.12
"Breville Microwave, White",3885.69375
"Smead Lockers, Industrial",3842.085
"Office Star Executive Leather Armchair, Adjustable",3766.9017
"KitchenAid Stove, Silver",3688.0173
"Breville Refrigerator, Black",3501.2520000000004
"Harbour Creations Executive Leather Armchair, Adjustable",3463.698
"Dania Classic Bookcase, Pine",3433.9149
"Eldon Lockers, Industrial",3430.53675
"Hamilton Beach Stove, Red",3408.786
"Hoover Microwave, Silver",3391.2033
"Breville Refrigerator, White",3352.728
"HP Wireless Fax, Digital",3318.6487500000003
"Fellowes Lockers, Blue",3291.4758
"Sauder Classic Bookcase, Traditional",3289.326
"Breville Stove, Red",3282.693
"Apple Smart Phone, with Caller ID",3239.0684999999994
"KitchenAid Refrigerator, Black",3237.78585
"Ibico Index Tab, Clear",3202.71
"Breville Stove, Black",3166.29
Canon Imageclass D680 Copier / Fax,3149.955
Hewlett Packard LaserJet 3310 Copier,3131.9478
"Canon Wireless Fax, Laser",3114.8107200000004
"HP Fax and Copier, Color",3112.0947600000004
Hoover WindTunnel Plus Canister Vacuum,3098.385
"Hoover Stove, Black",3083.1119999999996
"Sauder Library with Doors, Metal",3076.9056
"Hoover Microwave, White",3059.7929999999997
"KitchenAid Refrigerator, Silver",3044.826
"Hon Swivel Stool, Black",3029.5524
"Samsung Smart Phone, with Caller ID",3014.8785
"Breville Refrigerator, Red",3000.0576
"Memorex Router, Bluetooth",2977.0480500000003
"Konica Receipt Printer, Durable",2925.4959
Hewlett Packard 610 Color Digital Copier / Printer,2812.44375
"Smead Lockers, Single Width",2807.0212500000002
"Bush Library with Doors, Mobile",2765.754
"Rogers File Cart, Single Width",2742.2457
"Cuisinart Stove, Silver",2668.053
"Hewlett Fax and Copier, High-Speed",2638.85715
"Sauder Classic Bookcase, Pine",2636.928
"Hamilton Beach Refrigerator, Red",2592.8547
"Breville Refrigerator, Silver",2589.66
"Harbour Creations Executive Leather Armchair, Black",2587.7418000000002
"Brother Fax Machine, Laser",2562.1625999999997
"Brother Fax Machine, Digital",2540.48568
"Bush Classic Bookcase, Pine",2525.20935
"Hewlett Wireless Fax, Digital",2511.79554
Hewlett-Packard Desktjet 6988DT Refurbished Printer,2502.3075
"Eldon Lockers, Wire Frame",2481.537
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",2480.7384
"Sharp Fax and Copier, Digital",2467.74708
Hoover Upright Vacuum With Dirt Cup,2462.45265
"Hewlett Wireless Fax, High-Speed",2457.73254
"Apple Smart Phone, Cordless",2401.6275
"Tenex File Cart, Single Width",2380.9797
"Apple Speaker Phone, VoIP",2358.318
"SAFCO Rocking Chair, Set of Two",2338.5915
"Sharp Wireless Fax, Laser",2323.0569600000003
"KitchenAid Blender, Silver",2321.9970000000003
GBC DocuBind 300 Electric Binding Machine,2282.2236
"SAFCO Executive Leather Armchair, Set of Two",2281.0782
"Novimex Executive Leather Armchair, Adjustable",2280.8603999999996
Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,2255.2803
"Sharp Wireless Fax, Digital",2230.8368400000004
Fellowes PB300 Plastic Comb Binding Machine,2188.2636
"Rogers Lockers, Industrial",2175.5699999999997
